coin,min_rr,atr_buffer_multiplier,risk_per_trade_percent,partial_tp_rr,net_profit,win_rate,profit_factor,max_drawdown,total_trades,total_r_gain
XRPUSDT,2.0,2.0,2.0,1.1,-1093.52,48.15,0.65,15.29,27,-5.47
XRPUSDT,2.0,2.2,2.0,1.1,-875.68,46.15,0.71,12.31,26,-4.38
XRPUSDT,2.5,0.6,2.0,1.1,2504.44,71.79,1.99,5.39,39,12.52
XRPUSDT,2.5,0.8,2.0,1.1,3310.59,73.68,2.47,3.65,38,16.55
XRPUSDT,2.5,1.0,2.0,1.1,2169.7,66.67,1.86,8.07,33,10.85
XRPUSDT,2.5,1.2,2.0,1.1,2968.03,67.74,2.28,6.42,31,14.84
XRPUSDT,2.5,1.4,2.0,1.1,2286.55,63.33,1.92,5.93,30,11.43
XRPUSDT,2.5,1.6,2.0,1.1,-274.99,57.14,0.9,10.25,28,-1.37
XRPUSDT,2.5,1.8,2.0,1.1,-1659.02,40.91,0.44,17.63,22,-8.3
XRPUSDT,2.5,2.0,2.0,1.1,-1162.69,41.18,0.48,11.63,17,-5.81
XRPUSDT,2.5,2.2,2.0,1.1,-626.58,38.46,0.65,10.25,13,-3.13
XRPUSDT,3.0,0.6,2.0,1.1,2230.47,72.73,2.07,5.54,33,11.15
XRPUSDT,3.0,0.8,2.0,1.1,2869.06,78.12,2.79,3.01,32,14.35
XRPUSDT,3.0,1.0,2.0,1.1,2244.33,72.41,2.17,6.66,29,11.22
XRPUSDT,3.0,1.2,2.0,1.1,2843.65,66.67,2.21,7.57,30,14.22
XRPUSDT,3.0,1.4,2.0,1.1,1690.52,59.09,1.82,5.4,22,8.45
XRPUSDT,3.0,1.6,2.0,1.1,-101.98,61.11,0.94,6.34,18,-0.51
XRPUSDT,3.0,1.8,2.0,1.1,-549.46,50.0,0.67,13.57,14,-2.75
XRPUSDT,3.0,2.0,2.0,1.1,-407.5,36.36,0.74,10.35,11,-2.04
XRPUSDT,3.0,2.2,2.0,1.1,-513.62,36.36,0.67,10.14,11,-2.57
XRPUSDT,3.5,0.6,2.0,1.1,2161.09,78.57,2.54,3.68,28,10.81
XRPUSDT,3.5,0.8,2.0,1.1,2955.04,85.71,4.21,2.21,28,14.78
XRPUSDT,3.5,1.0,2.0,1.1,1315.82,68.0,1.68,8.9,25,6.58
XRPUSDT,3.5,1.2,2.0,1.1,2323.57,65.0,2.37,8.88,20,11.62
XRPUSDT,3.5,1.4,2.0,1.1,2158.48,64.71,2.51,4.34,17,10.79
XRPUSDT,3.5,1.6,2.0,1.1,-291.03,66.67,0.69,7.3,12,-1.46
XRPUSDT,3.5,1.8,2.0,1.1,230.34,50.0,1.19,10.04,10,1.15
XRPUSDT,3.5,2.0,2.0,1.1,147.32,42.86,1.16,5.97,7,0.74
XRPUSDT,3.5,2.2,2.0,1.1,301.93,57.14,1.43,5.63,7,1.51
